Symbol|Security Name|Market Category|Status|Test Issue
MPGS|Malaysia Pro-Guardians Security Management Corporation Common Stock|NBB||
MRIC|MRI Interventions Inc Common Stock|BB|ACTIVE|
MRJT|3D MAKERJET INC Common|BB|ACTIVE|
MRXC|Mirax Corp. Common Stock|BB|ACTIVE|
MTCP|Merecot Corporation Common Stock|NBB||
MTGB|Meetinghouse Bancorp Inc. Com|BB|ACTIVE|
MWBC|MW Bancorp, Inc. Common Stock|NBB||
MXMG|Maxima Group, Inc. Common Stock|BB|ACTIVE|
MYDX|MyDx, Inc. Common Stock|BB|ACTIVE|
MYRY|Myriad Interactive Media, Inc. Common Stock|NBB||
MZEI|Medizone International, Inc. Common Stock|BB|ACTIVE|
NACG|NAC Global Technologies, Inc. Common Stock|NBB||
NAOV|NanoVibronix, Inc. Common|BB|ACTIVE|
NCBS|Nicolet Bankshares Inc. Com|BB|ACTIVE|
NEMD|iNeedMD Holdings, Inc. Common Stock|BB|ACTIVE|
NEPH|Nephros, Inc.  Common Stock|BB|ACTIVE|
NGHT|NightCulture, Inc. Common Stock|BB|ACTIVE|
NGTF|NIGHTFOOD HLDGS INC Common Stock|BB|ACTIVE|
NHLE|Nhale Inc. Common Share|BB|ACTIVE|
NIDB|Northeast Indiana Bancorp, Inc. Common Stock|BB|ACTIVE|
NLRT|NOGALES RES CORP Common Stock|BB|ACTIVE|
NMRD|Nemaura Medical, Inc. Common Stock|BB|ACTIVE|
NMUS|Nemus Bioscience, Inc. Common Stock|NBB||
NODB|North Dallas Bank & Trust Co Tex Common Stock|BB|ACTIVE|
NPWZ|Neah Power Systems, Inc. New Common Stock|BB|ACTIVE|
NSBC|North State Bancorp (NC) Common Stock|BB|ACTIVE|
NUGN|NuGene International, Inc. Common Stock|BB|ACTIVE|
NUIN|Nutrastar International Inc. Common Stock|BB|ACTIVE|
NUMD|Nu-Med Plus Inc. Com|NBB||
NUUU|Rejuvel Bio-Sciences, Inc. Corp Common Stock|BB|ACTIVE|
NUVI|Emo Capital Corp. Common Stock|BB|ACTIVE|
NUZE|Nuzee, Inc. Common Stock|BB|ACTIVE|
NWIN|Northwest Indiana Bancorp Common Stock|BB|ACTIVE|
NWMH|National Waste Management Holdings, Inc. Common Stock|BB|ACTIVE|
OAKO|Oakridge International Corporation Common Stock|BB|ACTIVE|
OCEL|Ocean Electric, Inc. Common Stock|NBB||
OCLL|OCULUS INC Common Stock|BB|ACTIVE|
OGES|Oakridge Global Energy Solutions, Inc. Common Stock|NBB||
OMBP|Omni Bio Pharmaceutical, Inc. Common Stock|NBB||
OMCM|OmniComm Systems, Inc. Common Stock|BB|ACTIVE|
OMGB|Omega Brands Inc. NEW Common Stock|BB|ACTIVE|
ONFAD|One 4 Art Limited Common Stock|BB|ACTIVE|
ONLI|Online Redefined Inc Common Stock|NBB||
OPBL|Optionable, Inc. Common Stock|NBB||
ORCT|Orckit Communications Ltd.|NBB||
ORNC|Oranco Inc Common Stock|BB|ACTIVE|
OROE|Oro East Mining Inc Common Stock|BB|ACTIVE|
OSCY|Online Secretary, Inc. Common Stock|NBB||
OTTW|Ottawa Savings Bancorp, Inc. (IL) Common Stock|BB|ACTIVE|
OXCR|Oaxaca Resources Corp. Common Stock|BB|ACTIVE|
PAOC|Pan Ocean Container Supplies Ltd.  Common Stock|BB|ACTIVE|
PATD|Patapsco Bancorp Inc Common Stock|BB|ACTIVE|
PBCO|Peoples Bank of Commerce (Medford, OR) Common Stock|NBB||
PBFI|Patriot Berry Farms, Inc. Common Stock|NBB||
PCFTF|Pacific Therapeutics Limited Common Shares (Canada)|NBB||
PCHA|PowerMedChairs Common Stock|NBB||
PGCG|Prime Global Capital Group Incorporated .  Common Stock|BB|ACTIVE|
PGEC|Prestige Capital Corporation Common Stock|NBB||
PGSC|Progressive Green Solutions, Inc. NEW Common Stock|BB|ACTIVE|
PKAY|Peekay Boutiques, Inc. Common Stock|BB|ACTIVE|
PKGM|Pocket Games, Inc. Common|BB|ACTIVE|
PKKC|Pack Fuerte, Inc. Common Stock|BB|ACTIVE|
PLFX|Pulse Evolution Corporation. Common Stock|NBB||
PLRM|Pilgrim Bancshares, Inc. Common Stock|BB|ACTIVE|
PLWR|Power Gala Corp. Common|NBB||
PMCM|Primco Management, Inc. Common Stock|NBB||
PMXO|PMX Communities Inc Common Stock|BB|ACTIVE|
PPCQ|Premier Pacific Construction, Inc. Common Stock|BB|ACTIVE|
PPTG|Property Management Corporation of America Common Stock|BB|ACTIVE|
PRGB|Protea Biosciences Group Inc Common Stock|BB|ACTIVE|
PRKI|Perk Intl Inc Common Stock|BB|ACTIVE|
PRKO|Perkins Oil and Gas Inc. Common Stock|BB|ACTIVE|
PROM|Propel Media, Inc. Common Stock|BB|ACTIVE|
PROP|Propell Technologies Group, Inc. Common Stock|BB|ACTIVE|
PRPI|Perpetual Inds Inc Common Stock|BB|ACTIVE|
PSBQ|PSB Holdings, Inc. (Wisconsin) Common Stock|BB|ACTIVE|
PSNP|Preston Corporation Common Stock|NBB||
PSSS|Puissant Industries, Inc. Common Stock|NBB||
PSTO|Powerstorm Capital Corporation Common Stock|NBB||
PTOO|Pitooey!, Inc. Common Stock|NBB||
PTPF|All Marketing Solutions Inc. Common Stock|BB|ACTIVE|
PTQMF|Petaquilla Minerals Ltd. Ordinary Shares (Canada)|BB|ACTIVE|
PTRC|Petro River Oil Corp. Common Shares (Delaware)|BB|ACTIVE|
PUBCD|PureBase Corporation Common Stock|BB|ACTIVE|
PUGB|Puget Sound Bank (WA) Common Stock|BB|ACTIVE|
PWDY|Powerdyne International, Inc. Com|BB|ACTIVE|
PWEB|Pacific Webworks,Inc. Common Stock|NBB||
PWRV|Power of the Dream Ventures, Inc. Common Stock|BB|ACTIVE|
PWVI|PowerVerde, Inc. Common Stock|NBB||
QNTC|Quintec Corp. Common Stock|BB|ELIGIBLE|
QRRY|Quarry City Savings and Loan Association Common Stock|BB|ACTIVE|
QSIM|QuantumSphere, Inc Common Stock|NBB||
QSMG|QUEST MGMT INC Common|BB|ELIGIBLE|
QUOR|Quorum Corporation Common Stock|NBB||
RCAR|RenovaCare, Inc. Common Stock|BB|ACTIVE|
RCGP|Radiant Creations Group, Inc. (The) Common Stock|BB|ACTIVE|
RCHA|Rich Pharmaceuticals, Inc. Common Stock|BB|ACTIVE|
RDLA|Redstone Literary Agents Inc Common Stock|BB|ACTIVE|
REACD|Real Estate Contacts Inc.  Common Stock|BB|ACTIVE|
REBL|Rebel Group, Inc. Common Stock|BB|ACTIVE|
REMI|Remedent, Inc. Common Stock|NBB||
RGBP|Regen Biopharma, Inc. Common|BB|ACTIVE|
RILY|B. Riley Financial, Inc. Common Stock|BB|ACTIVE|
RLQT|Realco Intl Inc Common Stock|BB|ACTIVE|
RMLS|Romulus Corp. Common|BB|ACTIVE|
RMRI|RMR Industrials, Inc. Common Stock|BB|ACTIVE|
ROII|ROI Land Investments Ltd. Common|BB|ACTIVE|
RPBIF|Response Biomedical Corp. Ordinary Shares (Canada)|BB|ACTIVE|
RPPG|RERAISE GAMING CORP Common Stock|BB|ACTIVE|
RSSV|Resort Savers, Inc. Common Stock|NBB||
RTAS|REDtone Asia, Inc.  Common Stock|NBB||
RVEN|Reven Housing REIT, Inc. Common Stock|BB|ACTIVE|
RXSF|RX Safes, Inc. Common Stock|BB|ACTIVE|
RYBH|Royal Bakery Holdings, Inc Common Stock|BB|ACTIVE|
RYFL|Royal Financial, Inc. Common Stock|NBB||
SBID|Symbid Corp. Common Stock|BB|ACTIVE|
SCIO|Scio Diamond Technology, Corp. Common|BB|ACTIVE|
SCYT|Security Bancorp, Inc. (TN) Common Stock|BB|ACTIVE|
SDRG|Silver Dragon Resources Inc. Common Stock|NBB||
SECT|Sector 5, Inc. Com|BB|ACTIVE|
SELT|Select-TV-Solutions, Inc. NEW Common Stock|NBB||
SFHI|Sports Field Holdings, Inc. Com|NBB||
SGBH|Grand China Energy Group Limited Common Shares (Canada)|NBB||
SGNI|StemGen, Inc. Common Stock|BB|ACTIVE|
SGRB|SigmaBroadband Co. Common|BB|ACTIVE|
SHGT|Success Holding Group International, Inc. Common Stock|BB|ACTIVE|
SIAF|Sino Agro Food Inc Common Stock|BB|ACTIVE|
SIGL|Signal Advance, Inc. Common Stock|BB|ACTIVE|
SIHC|Safco Investment Holding Corp. Common Stock|NBB||
SITO|SITO Mobile, Ltd. Common Stock|BB|ACTIVE|
SKIN|Skinovation Pharm Inc Common Stock|NBB||
SKKB|Stark Naked Bobbers Common Stock|BB|ACTIVE|
SKKY|Skkynet Cloud Systems Inc Common Stock|BB|ACTIVE|
SKSK|Skookum Safety Solutions Corp. Common Stock|BB|ACTIVE|
SLNN|Saleen Automotive, Inc. Common Stock|BB|ACTIVE|
SLNR|Sealand Natural Resources Inc. Common Stock|NBB||
SLOTD|San Lotus Holding Inc. Com|NBB||
SLTN|Silverton Energy, Inc. Common Stock|BB|ACTIVE|
SMAK|Smack Sportswear Common Stock|BB|ACTIVE|
SMDM|Singing Machine Company, Inc. (The) Common Stock|NBB||
SMFI|Smoofi, Inc. Common|BB|ACTIVE|
SMQA|SMSA Ballinger Acquisition Corp Common Stock|BB|ACTIVE|
SNGX|Soligenix, Inc. Common Stock|BB|ACTIVE|
SNNC|Sibannac, Inc. Common Stock|NBB||
SNNY|Sunnyside Bancorp Inc Common Stock|BB|ACTIVE|
SNTW|SUMMIT NETWORKS INC Common Stock|BB|ACTIVE|
SNWV|SANUWAVE Health, Inc. Common Stock|NBB||
SNYR|Synergy Strips Corp. Common Stock|BB|ACTIVE|
SOUL|Soul and Vibe Interactive Inc. Common Stock|BB|ACTIVE|
SPNI|Sputnik Enterprises, Inc. Common Stock|NBB||
SPRZ|Spriza, Inc. Common Stock|NBB||
SSNT|SilverSun Technologies, Inc. Common Stock|BB|ACTIVE|
STAF|Staffing 360 Solutions, Inc. Common Stock|BB|ACTIVE|
STCC|Sterling Consolidated Corporation Common Stock|NBB||
STFK|Starflick.com Common Stock|BB|ACTIVE|
STOY|Spiral Toys Inc. Common Stock|BB|ACTIVE|
STVI|Snap Interactive, Inc.|BB|ACTIVE|
STWC|Strainwise, Inc.  Common Stock|NBB||
STYA|Satya Worldwide Inc. Common Stock|BB|ACTIVE|
SUGR|Sugar Creek Financial Corp. Common Stock|BB|ACTIVE|
SUND|Sundance Strategies Inc. Common Stock|NBB||
SVON|Sevion Therapeutics, Inc.  Common Stock|BB|ACTIVE|
SVTZ|Smart Server, Inc. Common|BB|ACTIVE|
SWEE|SweeGen, Inc. Common Stock|BB|ACTIVE|
SWFR|Swift Start Corp Common Stock|BB|ACTIVE|
SYTE|Sitestar Corporation Common Stock|BB|ACTIVE|
SYYF|I In The Sky, Inc. Common|BB|ACTIVE|
TALR|Talon Real Estate Holding Corp. Common Stock|NBB||
TAYO|Taylor Consulting Inc Common Stock|NBB||
TCKF|Tomichi Creek Outfitters Common Stock|BB|ACTIVE|
TCNT|TOUCAN INTERACTIVE CORP Common  Stock|BB|ACTIVE|
TDCB|Third Century Bancorp Common Stock|BB|ACTIVE|
TESTF|Test Issuer Warrant|BB|ACTIVE|Y
TESTT|Test Issuer Warrant|BB|ACTIVE|Y
TESTX|Test Issuer Warrant|BB|ACTIVE|Y
THGS|TOA Holdings, Inc. Common Stock|BB|ACTIVE|
TIGY|Tiger Jiujiang Mining Inc Common Stock|BB|ACTIVE|
TLCC|Twinlab Consolidated Holdings, Inc. Common|BB|ACTIVE|
TLLT|TELEHEALTHCARE INC Common|BB|ELIGIBLE|
TNRG|Thunder Energies Corp. Common Stock|BB|ACTIVE|
TNTY|Trunity Holdings, Inc. Common Stock|NBB||
TPHX|Tanaris Power Holdings Inc. Common Stock|NBB||
TPNL|3Pea International, Inc. Common Stock|BB|ACTIVE|
TQBY|TABACALERAYSIDRON Common Stock|BB|ACTIVE|
TRFX|TERAFOX CORP Common Stock|BB|ACTIVE|
TRKK|Orbital Tracking Corp. Common Stock|BB|ACTIVE|
TRPO|Tropic International, Inc. Common Stock|BB|ACTIVE|
TRVX|Triumph Ventures Corp. Common Stock|NBB||
TRYV|TECH FDRY VENTURES INC Common Stock|BB|ACTIVE|
TSGL|The Staffing Group Ltd. Common Stock|BB|ACTIVE|
TSTS|That Marketing Solution, Inc. NEW Com|NBB||
TTHX|Train Travel Holdings, Inc.  Common Stock|BB|ACTIVE|
TXFX|Tixfi, Inc. Common|BB|ACTIVE|
TXJK|TEXAS JACK OIL & GAS CORP Common Stock|BB|ACTIVE|
TXSP|TAXUS PHARMACEUTICALS HLDGS INC Common|BB|ELIGIBLE|
TYBT|Trinity Bank, N.A. (TX) Common Stock|BB|ACTIVE|
UAGZ|UA Granite Corp Common Stock|BB|ACTIVE|
UASB|United American Svgs Bk Pittsburgh PA Common|NBB||
UBIQ|Ubiquity Inc. Common Stock|NBB||
UBLI|UBL Interactive, Inc. Common Stock|BB|ACTIVE|
UCLE|US NUCLEAR CORP Common stock|BB|ACTIVE|
ULNV|Uni Line Corp. Common Stock|NBB||
UOIP|UnifiedOnline, Inc Common Stock|BB|ACTIVE|
UPNT|Uplift Nutrition, Inc Common Stock|NBB||
USBL|United States Basketball League, Inc. Common Stock|BB|ACTIVE|
USDF|US-Dadi Fertilizer Ind Intl Inc. Common Stock|BB|ACTIVE|
UTMRE|Ultimate Rack Inc. Com|NBB||
VAPO|Vaporin Inc. Common Stock|NBB||
VEND|Fresh Healthy Vending International, Inc.|BB|ACTIVE|
VERF|Versailles Financial Corporation Common Stock|BB|ACTIVE|
VICA|HCi VioCare.  Common Stock|NBB||
VMRI|Valmie Res Inc Common Stock|BB|ACTIVE|
VOIL|Virtus Oil and Gas Corp. Common|BB|ACTIVE|
VOPA|Vopia, Inc. Common Stock|BB|ACTIVE|
VPIG|Virtual Piggy, Inc. Common Stock|BB|ACTIVE|
VRTT|VIATAR CTC SOLUTIONS INC Common Stock|BB|ACTIVE|
VSYM|View Systems, Inc. Common Stock|BB|ACTIVE|
WASM|Westmountain Company. Common Stock|BB|ACTIVE|
WEIN|West End Indiana Bancshares Inc Common Stock|NBB||
WETM|Westmountain Alternative Energy, Inc. Common Stock|BB|ACTIVE|
WGTG|Wings & Things Inc Common Stock|NBB||
WHHT|Wonhe High-Tech International, Inc. Common Stock|BB|ACTIVE|
WINH|Winha International Group Ltd. Common|NBB||
WIZD|Wizard World, Inc. Common Stock|BB|ACTIVE|
WMAL|Worlds Mall, Inc. Common Stock|BB|ACTIVE|
WMDS|WestMountain Distressed Debt, Inc. Common Stock|BB|ACTIVE|
WMPN|William Penn Bancorp, Inc. Common Stock|NBB||
WMTN|Westmountain Gold, Inc Common Stock|BB|ACTIVE|
WNSS|WNS STUDIOS INC Common Stock|BB|ACTIVE|
WRMT|World Media & Technology Corp. Common Stock|BB|ACTIVE|
WWIO|Wowio Inc Common Stock|NBB||
WWRB|WeWearables, Inc., Common|BB|ACTIVE|
XELB|Xcel Brands, Inc. Common Stock|BB|ACTIVE|
XREG|XR Energy Inc Common Stock|NBB||
XSPY|Spy Inc. Common Stock|BB|ACTIVE|
YEWB|Yew Bio-Pharm Group Inc Common|BB|ACTIVE|
ZFLO|Zlato Inc Common Stock|BB|ACTIVE|
ZOSN|Zosano, Inc. NEW Common Stock|BB|ACTIVE|
ZZZZQ|Super Montage Test Security ZZZZQ Test Security|BB|ACTIVE|Y
File Creation Time: 0707201515:41||||
